transformed_input_for_generation,target
"Speaker PHOEBE: Hey you guys, guess what? 
Speaker CHANDLER: ",The British are coming?
"Speaker HOWARD: This thing has to hold up against a hearty potato-based diet. 
Speaker LEONARD: I feel terrible 
Speaker HOWARD: Maybe if you were helping, you'd feel better about yourself. 
Speaker LEONARD: I deliberately tried to sabotage Stuart's date with Penny. 
Speaker RAJ: Of course you feel terrible. You completely screwed up your karma. 
Speaker SHELDON: ","You don't really believe in that superstition, do you?"
"Speaker JOEY: The stripper stole the ring! The stripper stole the ring! Chandler get up get up, the stripper stole the ring. 
Speaker CHANDLER: ",Oh just like give a minute to wake up for this  ...  Ha ha! You lost the ring. You the worst best man ever!
"Speaker JOEY: Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one? 
Speaker RACHEL: Yeah, sure. Umm .. here. 
Speaker JOEY: Great.  You got anything that's not 
Speaker RACHEL: ","Yeah, I don't think so Joe."
"Speaker RACHEL: Hi! What are you doing here? 
Speaker ROSS: Ah y'know, this building is on my paper route so I... 
Speaker RACHEL: ",Oh.
"Speaker HOWARD: Roger is Raj. 
Speaker RAJ: I always thought, if I had a white name, it would be Gavin. 
Speaker HOWARD: Keep reading. What does it say? 
Speaker RAJ: No, no, I don't know if I should. 
If she wanted me to know about her blog, she would've told me. 
Speaker RAJ: It's almost like I'm reading her diary. 
Speaker HOWARD: That's exactly what it's like. Keep reading. 
Speaker RAJ: No, this is creepy. 
Speaker HOWARD: ","Oh, I think we were looking at creepy in the rearview mirror when I put up that camera."
"Speaker HOWARD: I just Googled ""foo-foo little dogs."" 
Speaker HOWARD: (Skype ringing) It's Raj. Stay quiet. 
Speaker HOWARD: (chuckles): Hey!
Bad timing.
Bernadette just took Cinnamon out for a walk. 
Speaker RAJ: Hmm. Interesting. 
Did they take a walk down Liars' Lane? 
Speaker HOWARD: What? 
Speaker RAJ: ","A lane frequented by liars. Like you, you big liar!"
"Speaker RACHEL: Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. You guys would never want to go to a lecture with me. 
Speaker ROSS: Pa-haa!! I would love to go with you. 
Speaker RACHEL: ",Really!?
"Speaker CHANDLER: Oh, that's uh, that's pretty nice but I'm gonna go with the one I picked first. 
Speaker PHOEBE: Oh my God Chandler, the one you picked is gone. It's over! 
Speaker CHANDLER: What? 
Speaker PHOEBE: ",Some guy bought it. I'm sorry. I tired to stop it but they put me in jail!
"Speaker MONICA: Oh, about five minutes. Right now they're interviewing his opponent. Apparently he trains by going to Iran and pulling the arms off thieves. 
Speaker ROSS: Hot dog? 
Speaker MONICA: Four, please. I'm really nervous. Thank you. 
Speaker PHOEBE: ","So Ross, how umm, how did it go with Bonnie?"
"Speaker SHELDON: You know, I am not going to enjoy this party. 
Speaker LEONARD: I know, I'm familiar with you. 
Speaker SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes. 
Speaker LEONARD: Yes, I was there. 
Speaker SHELDON: You know what's interesting about caves? 
Speaker LEONARD: What? 
Speaker SHELDON: Nothing. 
Speaker LEONARD: Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go. 
Speaker SHELDON: ","How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement."
"Speaker JOEY: Hey. What, what are you doing here? 
Speaker PHOEBE: Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental. Yeah, oh, but oh... 
Speaker JOEY: ","Look now, Phoebe remember, hey, their just fulfilling their Christmas...."
"Speaker PENNY: Alright, want some French toast? 
Speaker SHELDON: It's oatmeal day. 
Speaker PENNY: Tell you what, next French toast day, I'll make you oatmeal. 
Speaker SHELDON: Dear Lord, are you still going to be here on French toast day? 
Speaker LEONARD: Morning. 
Speaker SHELDON: Look, Leonard, Penny made French toast. 
Speaker LEONARD: Sorry, I haven't given her your schedule yet. 
Speaker SHELDON: ",It's an iCal download. She can put it right in her phone.
"Speaker CHANDLER: Yes. Yes, thanks for letting me use your phone... and for saving my life. 
Speaker PERSON: Well, goodbye Chandler. I had a great blackout.  See ya. 
Speaker CHANDLER: Hi, um, I'm account number 7143457. 
Speaker CHANDLER: ","And, uh, I don't know if you got any of that, but I would really like a copy of the tape."
"Speaker RACHEL: Hey Chandler? Monica just broke my sea-shell lamp. 
Speaker CHANDLER: ",Me? I am gonna die alone!
"Speaker ROSS: No! You let go! How come it's always us left in the field holding the ball? 
Speaker MONICA: I don't know. I guess the other people just don't care enough. 
Speaker ROSS: ",Hey! It's starting to snow.
"Speaker ROSS: One, two, three, four! You know the song! Sing along! So? 
Speaker MONICA: ",No!
"Speaker PERSON: When their pets pass on, they want them sort of laid out like they are sleeping. But, occassionally theres a person who wants them in a pose like chasing their tail or uh, jumping to catch a frizbee. 
Speaker CHANDLER: ","Joey if I go first, I want to be looking for my keys"
"Speaker RACHEL: I know. I know. I panicked, I panicked. I didn't want him to start yelling at me like I was some '74 Latour. 
Speaker PHOEBE: It's Lafite. The '74 Latour is actually drinking quite nicely. 
Speaker RACHEL: All right here he comes. I'm gonna do this, I'm gonna tell him, I'm gonna be strong. 
Speaker PERSON: ",I just called a friend of mine.
"Speaker MONICA: Did that! 
Speaker PHOEBE: Grasp one of the linen strips by its  'easy grab tab' and pull it off in one quick pain free motion. 
Speaker MONICA: Okay.  Ow!!!!! Ow-oh-oh! 
Speaker PHOEBE: ",Was it not pain-free?
"Speaker SCOTT: It was being sarcastic, alright I see I see 
Speaker SCOTT: I didn't realise the sarcasm was going to be so full on. I ll just stand back and start again 
Speaker MEMBER-BOY: Oh, we wouldn't bother. 
Speaker MEMBER-BOY: ",You got off to a really good start with the group.
"Speaker RAJ: Oh, there it is: now that you don't have a girlfriend, you want to hang out with me again. 
Speaker LEONARD: I never stopped hanging out with you. Oh, please, we all know I'm the friend you call when you have no other options. If we were the Justice League, I'd be Aquaman. 
Speaker HOWARD: I wish you were Aquaman. Then I could send you to scoop my mom out of the old lady tank. 
Speaker SHELDON: ","Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage."
"Speaker ROSS: Where'd you get fruit at four in the morning? 
Speaker MONICA: Went down to the docks. Bet ya didn't know you could get it wholesale. 
Speaker RACHEL: I didn't know there were docks. 
Speaker JOEY: ",Hey.
"Speaker JOEY: Hey 
Speaker CHANDLER: Hey 
Speaker CHANDLER: ","You know once you are inside, you don't have to knock anymore."
"Speaker SHELDON: Red Zinger with one teaspoon of honey. 
Speaker PERSON: Thank you.
Neat<i> Star Trek</i> mug. 
Speaker PERSON: I actually have one of the phasers from the original TV show. 
Speaker HOWARD: Oh, cool.
How'd you get that? 
Speaker PERSON: Oh, easy, Gene Roddenberry needed a vasectomy. 
Speaker SHELDON: Wait a minute.
You've snipped Gene Roddenberry's vas deferens? 
Speaker PERSON: Yes. 
Speaker HOWARD: ","Wow, he really went where no man has gone before."
"Speaker CHANDLER: I do! Want a hint? huh? ""I do""  ""I do"". 
Speaker MONICA: Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee. 
Speaker CHANDLER: David is going to propose to Phoebe. 
Speaker MONICA: ",What?  Why?
"Speaker AMY: the organism responsible for Michelob Lite. 
Speaker AMY: Is there something wrong with your neck? 
Speaker SHELDON: It's a little stiff. 
Speaker SHELDON: What a remarkably fragile structure to support such a valuable payload. 
Speaker SHELDON: Not unlike balancing a Faberge egg on a Pixie Stick. 
Speaker AMY: Have you considered massage? 
Speaker SHELDON: ","I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it."
"Speaker JOEY: Well, why don't you tell me what you're supposed to be! Huh? Because I sure as hell can't figure it out! 
Speaker JOEY: ",I talk to you and nothin'.
"Speaker HOWARD: after you had a snootful of this, laddie! 
Speaker BERNADETTE: Funny. 
Speaker BERNADETTE: You boys have a nice time? 
Speaker HOWARD: Yeah, it was great. 
Speaker HOWARD: Low-key, like I promised. 
No hanky-panky, no strippers.
Just the guys telling jokes. 
Speaker BERNADETTE: That's nice. 
Speaker HOWARD: ","How about you? Did you have a fun night? Yeah, we, uh, made gift bags, had wine, and then went online and saw this."
"Speaker SHELDON: That lecture was a waste of time. 
Speaker SHELDON: I made more accurate diagrams of the expansion of the early universe on the nursery wall with the contents of my diaper. 
Speaker AMY: Are you getting sick? 
Speaker SHELDON: ","No, I'm just allergic to people who get Nobel Prizes for no good reason."
"Speaker RACHEL: Hi Tag! Hey, so did you have fun with uh, with Joey last night? 
Speaker PERSON: Oh yeah! We went to the Knicks game. Ohh that's nice. 
Speaker PERSON: ",Then we went to this bar and he hooked us up with all these women!
"Speaker PERSON: Aren't you with that girl over there? 
Speaker ROSS: Well, yeah, kinda. Um, but that's okay, see we have an understanding, um, see we each have this list of five famous people, so I'm allowed to sleep with you. 
Speaker ROSS: ","No, no, no, it's flattery."
"Speaker ROSS: Hi. 
Speaker RACHEL: What's the matter with you? 
Speaker CHANDLER: Mean guys at the coffee house took my hat 
Speaker JOEY: You kidding 
Speaker ROSS: It was ridiculous, these guys were bullies, actual bullies. We are grown ups, this kind of stuff isn't supposed to happen anymore. 
Speaker CHANDLER: ","Oh, wait a minute, I have no one."
"Speaker SHELDON: What if we were to get in a car with a crazy person? 
Speaker LEONARD: Look at us, Sheldon.
We're the crazy people. 
Speaker SHELDON: Well, perhaps we should hold up a sign that assures passing motorists of our mental competence. 
Speaker HOWARD: Good idea.
Why don't you get started on that? 
Speaker LEONARD: ","Come on, let's just start walking. There's got to be a gas station or something nearby."
"Speaker CHANDLER: I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus. 
Speaker JOEY: Hi, here's the deal. We lost a carseat on a bus today. 
Speaker JOEY: ","It's white plastic, with a handle, and it fits onto a stroller."
"Speaker PERSON: Excuse me, Dr. Cooper. I'm Kathy O'Brien. 
Speaker PERSON: I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away. 
Speaker SHELDON: ","Maybe when I publish it, I'll include an inhaler."
"Speaker JOEY: When that guy was robbing us and I was locked in the entertainment unit for like six hours, do you know what I was doing there in all that time? I was thinking about how I let you down. Yeah. But if I had known what kind of friend you would turn out to be, I wouldn't have worried about it so much. See you around! 
Speaker CHANDLER: Wait! Just wait one second. There has to be something that I can do, something. If we still had that entertainment unit, I would get in there for six hours and think about  how I let you down. 
Speaker JOEY: ",We got a box.
"Speaker JOEY: And you can see me! Same as yesterday, same as the day before. 
Speaker MONICA: Is he doing his shark attack bit yet? 
Speaker JOEY: ","Nope. Op, wait! There he goes."
"Speaker SHELDON: in town were starting to say I was a witch. 
Speaker PERSON: Sheldon thinks the approach in this paper might change the way we calculate ferromagnetic hysteresis. 
Speaker PENNY: Oh, it's about time. I hated the old way. 
Speaker PENNY: Hi. I'm Penny. 
Speaker PERSON: Alex.
Uh, do you work with Dr. Hofstadter? 
Speaker PENNY: In a way. 
Speaker PENNY: ",We've kind of been involved in a five-year experiment.
"Speaker JOEY: You liked it? You really liked it? 
Speaker CHANDLER: Oh-ho-ho, yeah! 
Speaker JOEY: Which part exactly? 
Speaker CHANDLER: ",The whole thing! Can we go?
"Speaker LEONARD: You went to President Seibert's house in the middle of the night? 
Speaker SHELDON: He didn't respond to my e-mail, his phone number is unlisted. Tell me what my other option was. 
Speaker LEONARD: You could have waited until morning. 
Speaker LEONARD: I know, look who I'm talking to. 
Speaker SHELDON: Do you remember the grant proposal I submitted to the National Science Foundation to detect slow-moving monopoles at the magnetic North Pole? 
Speaker LEONARD: ",Hardly a day goes by when I don't think about it.
"Speaker JOEY: Oh Mommy, Oh Daddy, I am a big ol Baddy. 
Speaker ROSS: I guess he must have gotten the part in the play. 
Speaker CHANDLER: ",Yeah either that or gloria estefan was right eventually the rhythm is going to get you
"Speaker JOEY: It isnt working 
Speaker MONICA: We have to unscrew the chain 
Speaker JOEY: Hurry, I can't feel my ears 
Speaker CHANDLER: Can you ever feel your ears? 
Speaker JOEY: Interesting 
Speaker CHANDLER: ",Oh I left them in my bulldozer .. I don't have tools!
"Speaker CHANDLER: The most unbelievable thing has happened. Underdog has gotten away. 
Speaker CHANDLER: ","No, no the actual cartoon character .. Of course the baloon."
"Speaker PHOEBE: Listen, I'm sorry about that whole thing with Roger. It really wasn't right, and I, and I want to make it up to you, so umm, I brought you something that I think you'll really enjoy. Now, this is just a loan. 
Speaker PHOEBE: ",Okay?
"Speaker LEONARD: This isn't so bad. 
Speaker SHELDON: That's easy for you to say. 
Your chair's not facing the lingerie section. 
Speaker SHELDON: Boy, that's a lot of panties. 
Speaker AMY: You guys comfy? This might take a while. 
Speaker SHELDON: You know, I don't understand why women insist on making a big production out of buying clothes. 
Speaker PENNY: ","No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston."
"Speaker PHOEBE: Yeah! Now, why do you want to kill yourself? 
Speaker PERSON: It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist! 
Speaker PHOEBE: ",Chandler?
"Speaker MONICA: Oh wait stop! Stop! Stop! 
Speaker CHANDLER: ","Oh I am sorry, do you need a break?"
"Speaker JOEY: Yeah! And also, a little like a French guy. I never noticed that before. 
Speaker MONICA: ",What are you up too?
"Speaker RACHEL: Okay, well then how about a handshake? Oh God I'm sorry! Oh God, I'm sorry! 
Speaker RACHEL: ","I did not mean to touch that,I mean"
"Speaker LEONARD: I don't think I can go to the North Pole. 
Speaker SHELDON: I know you're concerned about disappointing me but I want you to take comfort from the knowledge that my expectations of you are very low. 
Speaker LEONARD: Yeah, that's very comforting. 
Speaker SHELDON: Comforting is a part of leadership.
It's not a part I care for, but such is my burden. 
Speaker LEONARD: ","Terrific, it's just that... I don't think Penny wants me to go."
"Speaker RACHEL: Oh Monica, we are so sorry. 
Speaker MONICA: For what? 
Speaker RACHEL: Well first, for forgetting to throw you a bridal shower. 
Speaker PHOEBE: ",And then for forgetting to invite you to it.
"Speaker CHANDLER: Okay. 
Speaker JOEY: Listen uh, could you put Kathy on, I wanna apologize. 
Speaker CHANDLER: Oh yeah man.  Joey. 
Speaker PERSON: ",Hey.
"Speaker BERNADETTE: What the hell is wrong with you?! 
Speaker RAJ: Well...
You were always so nice to me, I thought maybe you liked me. 
Speaker BERNADETTE: I'm nice to everyone! 
Speaker RAJ: I'm sorry. 
Speaker BERNADETTE: Damn right, you're sorry! 
Speaker BERNADETTE: And you tell Howard there's never been anything between us! 
Speaker RAJ: I will. Hey, Bernadette? 
Speaker BERNADETTE: What?! 
Speaker RAJ: Do you think I have a shot with Penny? 
Speaker BERNADETTE: ",Of course you do. You're a cutie pie! Any girl would be lucky to have you!
"Speaker MONICA: Go over to her. She's not with anyone. 
Speaker CHANDLER: ",Oh yeah right. And what would my opening line be? Excuse me
"Speaker RACHEL: Yeah, I mean I was up sick all night. 
Speaker JOEY: Yeah me too, all night. Really?! 
Speaker RACHEL: How come we didn't cross paths? 
Speaker JOEY: ","Yeah well that's because uh .. I stayed in my room. Yeah, you don't want to look in my hamper."
"Speaker SHELDON: Pastries such as bear claws? 
Speaker PENNY: Yeah, sure. 
Speaker SHELDON: I don't like bear claws. 
Speaker PERSON: Hey, Penny. 
Speaker PERSON: Dumbass. 
Speaker SHELDON: Leslie Winkle. 
Speaker SHELDON: Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle? 
Speaker PENNY: They have a lot in common. I mean, they're both scientists. 
Speaker SHELDON: ","Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space."
"Speaker RAJ: It's actually a very elegant system. You know, what goes around comes around. 
Speaker HOWARD: Speaking of what goes around comes around... 
Speaker RAJ: Okay, look. Instead of trying to reinforce this structure here, what if we just ran another line, bypass it entirely? 
Speaker SHELDON: It won't work. The diameter of the tubing is insufficient. 
Speaker RAJ: What if we reposition the collection tank? 
Speaker SHELDON: It won't work. No way to mount it. 
Speaker HOWARD: ","Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?"
"Speaker RAJ: There are many things seriously wrong with me. 
Speaker RAJ: And not quirks, either.
Like... diagnosable psychological problems. 
Speaker RAJ: Maybe brain damage. 
Speaker PERSON: Well, how do I know you're not just saying that? 
Speaker RAJ: ","Go out with me on one date, and I promise you, you'll see."
"Speaker JOEY: Oh, uh, listen, about tonight... 
Speaker CHANDLER: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend. 
Speaker CHANDLER: ","Yes, I know, but her friend sounds like such a..."
"Speaker CHANDLER: Oh, that's Ross's. 
Speaker RACHEL: Oh...  Oh my God. He remembered. 
Speaker PHOEBE: Remembered what? 
Speaker RACHEL: ",It was like months ago.
"Speaker PHOEBE: Um-hmm. Oh wait! This is Bonnie. 
Speaker PERSON: Hi! 
Speaker RACHEL: This is Bonnie?  This is Bonnie?  You're Bonnie? 
Speaker PERSON: ",I can show you an ID if you want?
"Speaker SHELDON: it will establish you as the ""alpha"" male. 
Speaker SHELDON: You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin. 
Speaker SHELDON: If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."" 
Speaker LEONARD: Huh 
Speaker LEONARD: ",Would it work if I just punched you in the face?
"Speaker LEONARD: You never told me what happened between you and Bernadette. 
Speaker HOWARD: I did a stupid thing. 
Speaker LEONARD: Yeah, I guessed that. 
Speaker HOWARD: ",It was the kind of thing that makes it kind of hard to face her now.
"Speaker ROSS: Just your run-of-the-mill third nipple. You can take it off. Just slice that baby right off! 
Speaker PERSON: ","Take your shirt off, and let's see what we're dealing with here.  What are you doing?"
"Speaker PERSON: HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! I 
Speaker JOEY: ","Are you kidding? I love that guy!  Morning's here! Morning is here,"
"Speaker PERSON: Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion. 
Speaker MONICA: See? 
Speaker CHANDLER: Yeah, that's the same as ""it has something to do with wind"". 
Speaker MONICA: ","Alright, I'm gonna go pick up a few things for the trip."
"Speaker MONICA: Yeah??? Oh... Okay, yes, we'll be right, we'll be right down. 
Speaker MONICA: ",Thank you.
"Speaker BLANCHE: Still worried about the money you owe the government? 
Speaker DOROTHY: ",I'm worried about whether Michael Jackson will be able to buy the remains of the elephant man.
"Speaker PHOEBE: It's just y'know, been a couple of hours, and she hasn't called. Not that I even care, y'know. 
Speaker MONICA: Phoebe why don't you just call her? You obviously want to. 
Speaker PHOEBE: You think you know me so well. 
Speaker MONICA: ","Well, don't  'cha wanna?"
"Speaker LEONARD: Take that! 
Speaker LEONARD: What's the matter? 
Speaker HOWARD: This granola bar has peanuts in it! 
Speaker LEONARD: Oh, my God. Why did you eat it? 
Speaker HOWARD: I don't know. It was just there! 
Speaker LEONARD: If I had a gun there, would you have shot yourself? 
Speaker HOWARD: Don't yell at me! I've got to go to the emergency room! 
Speaker HOWARD: ","- Now?! - No, after my tongue has swollen to the size of a brisket!"
"Speaker SHELDON: When I was a little boy and got sick, which was most of the time, my mother would read it to me. 
Speaker SHELDON: It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different. 
Speaker SHELDON: For some reason, I related to it quite strongly. 
Speaker PENNY: I know the reason. 
Speaker LEONARD: We all know the reason. 
Speaker LEONARD: Sheldon, what are you getting at? 
Speaker SHELDON: ",That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?
"Speaker SHELDON: Wrong. Leonard? 
Speaker LEONARD: Horse, but mostly just for the height. 
Speaker LEONARD: A little bit for the genital girth. 
Speaker SHELDON: Wrong, and let's keep it clean, shall we? 
Speaker HOWARD: Kangaroo, uh, I'd be Kanga-Jew. 
Speaker HOWARD: The first of my people to dunk a basketball. 
Speaker LEONARD: ","Also instead of just living in your mother's house, you could actually live inside her body."
"Speaker AMY: You slept with him? 
Speaker PENNY: I didn't know what else to do.
He had those big, sad eyes. 
Speaker BERNADETTE: Oh, sure, you had no choice. 
Speaker PENNY: He looked at me like this. 
Speaker AMY: ","Well, if that's all it takes, it's a good thing you don't have a dog."
"Speaker ROSS: I have a question. Umm, I used your pen to draw on my friend's face. A beard and a moustache. 
Speaker ROSS: ",Thank you.
"Speaker PHOEBE: You know whats sadder than this? Bambi. I cried for three days with that movie. No wait two, cause on the thrid day my mother killed herself, so I was partly crying for that. 
Speaker CHANDLER: ","See now that I see crying over, but Bambi, is a cartoon."
"Speaker SCOTT: I am having a bit of trouble telling when people are sarcastic. 
Speaker MEMBER-BOY: ",Noooo. Really?
"Speaker PERSON: Why?!! 
Speaker ROSS: Uh well umm .. we're just not in that place, y'know? But we're very excited about this. 
Speaker PERSON: Oh. Well then shut me up. 
Speaker RACHEL: ",Just tell me how.
"Speaker MONICA: Ahh! Aren't you dressed yet? 
Speaker CHANDLER: Am I naked again?! 
Speaker MONICA: We're supposed to meet my parents in 15 minutes. 
Speaker CHANDLER: ","Yeah okay, I was just talking to the guys. Just look at them I mean, is it okay if they come visit?"
"Speaker PERSON: Come on! 
Speaker JOEY: ",Weā€™re not peeking?
"Speaker RAJ: You would leave me out of the conversation with the next guy if you dump Leonard? 
Speaker PENNY: Why say it? Yes! 
Speaker RAJ: Well, I would never leave you off my list, and not just because, without you, we're playing fast and loose with the word list. 
Speaker PENNY: Well, good job. Now she hates me. 
Speaker RAJ: Great. 
Speaker SHELDON: ","On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next."
"Speaker JOEY: The wheel or pick a Google card. 
Speaker CHANDLER: ","Let me think! Let me think! Oh, I don't care."
"Speaker JOEY: It's gonna be worth it. It's a known fact that women love babies, all right? Women love guys who love babies. 
Speaker JOEY: ",It's that whole sensitive thing.
"Speaker SHELDON: It ended on a cliffhanger. 
Speaker LEONARD: They did. 
Speaker PENNY: Uh, Sheldon, there are two dumplings left. Do you want them? 
Speaker SHELDON: Dumplings?
Don't you understand what's going on here? 
Speaker PENNY: As a rule, no. 
Speaker SHELDON: That show ended with all the residents of New York either dead or unconscious.
Now I'll never know what happened. 
Speaker PENNY: Well, why don't you make up your own ending? 
Speaker SHELDON: ","Oh, sure, what a wonderful idea. And after that, I'll make up my own rules of oral hygiene. You know, instead of flossing, I'll rub pudding on my gums. I'm going to get the number of the SyFy Channel and give them what for."
"Speaker LEONARD: I am.
Are you interested in physics? 
Speaker BERNADETTE: Oh, I find it fascinating. If I hadn't gone into microbiology, I probably would have gone into physics.
Or ice dancing. 
Speaker LEONARD: Actually, my tests of the Aharonov-Bohm quantum interference effect have reached an interesting point. Right now, we're testing the phase shift due to an electric potential. 
Speaker BERNADETTE: That's amazing. 
Speaker SHELDON: Yes. 
Speaker SHELDON: ",Leonard's work is nearly as amazing as third graders growing lima beans in wet paper towels.
"Speaker JOEY: No! He blew us off! 
Speaker ROSS: What?! 
Speaker JOEY: I know! 
Speaker ROSS: ",I can't believe it.  Can I tell you something? I'm a little mad at him now.
"Speaker RAJ: We did it. We have the west coast feed of hbo. 
Speaker HOWARD: Ooh,real sex. 
Speaker RAJ: Big deal. Every time I watch that show, it's old women putting condoms on cucumbers. 
Speaker LEONARD: All right,let's see what's on the east coast feed. 
Speaker RAJ: Dune. 
Speaker RAJ: ","Not a great movie, but look at that beautiful desert."
"Speaker SHELDON: or Leonard's gym membership. 
Speaker RAJ: We're not kicking him out. 
Stuart and I have become good friends. 
Speaker SHELDON: Okay, one vote for, one vote against.
Leonard, you're the tiebreaker. 
Speaker LEONARD: I don't have a problem with Stuart.
Besides, he gives us a 20% discount at his comic book store. 
Speaker SHELDON: Well, I don't sell my friendship that cheaply. 
Speaker PERSON: I can go 30. 
Speaker SHELDON: Welcome aboard, old chum. 
Speaker RAJ: ","Okay, the NASA Web site says Howard's final descent has begun."
"Speaker HOWARD: Oh, hey, Stuart, I got you a little souvenir from my trip to space. 
Speaker PERSON: Well, Howard, that's very nice of you. 
Speaker LEONARD: Yeah, maybe. Open it first. 
Speaker HOWARD: It's my official NASA portrait. 
Speaker PERSON: ","""To Stuart, your comic book store is out of this world. Just like the guy in this picture was."""
"Speaker AMY: The painting is a constant reminder that of the three of us, she is the least cool. 
Speaker PENNY: Yeah, that's... that's what it is, so... 
Speaker AMY: You have such a good heart. 
Speaker PENNY: Yeah... I try. 
Speaker AMY: Come on. 
Speaker PENNY: Whoa, whoa, where are we going? 
Speaker AMY: We're going to go put this painting back up in your apartment. 
Speaker PENNY: Well, what about Bernadette? 
Speaker AMY: ","Oh, screw her. She's just lucky we let her hang out with us."
"Speaker PENNY: You know, Sheldon, I used to cut my brother's hair. 
I could do it for you. 
Speaker SHELDON: Penny, I know you mean well, offering the skills of the hill folk, but, um, 
Speaker SHELDON: here in town, we don't churn our own butter, we don't make dresses out of gunny sacks, and, uh, we sure as shootin' don't get our hair cut by bottle-blonde... 
Speaker LEONARD: Sheldon, be nice. 
Speaker SHELDON: ","I'm sorry, it's the bad boy attitude that comes with this hair."
"Speaker JOEY: I know, it was amazing! I mean, we totally nailed it, it was beautiful. 
Speaker PERSON: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball. 
Speaker JOEY: Oh well, okay, good luck. 
Speaker PERSON: ",: Yeah.
"Speaker RAJ: Koothrappali murder mystery dinner. 
Speaker AMY: I'm leaving. 
Speaker RAJ: You can't leave. 
You're a suspect in the mysterious murder of Stuart Bloom. 
Speaker BERNADETTE: (dramatic music plays) I didn't know his last name was Bloom. 
Speaker AMY: Yeah, it's Bloom. 
Speaker PENNY: Are you really gonna lie on the floor and pretend to be dead all night? 
Speaker PERSON: ",What do you think I was gonna do at home?
"Speaker LEONARD: Howard, what did you do? 
Speaker HOWARD: They're called tattoo sleeves. Look. 
Speaker HOWARD: I got them online. Raj got a set, too. 
Speaker HOWARD: Fantastic, right? 
Speaker HOWARD: Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery. 
Speaker SHELDON: ","You know, I've always wanted to go to a Goth nightclub."
"Speaker MONICA: Umm, listen there's something I think you should know. 
Speaker CHANDLER: Oh, is this about you-you dating the nurse? Yeah, Joey already told me, and I am so-so fine. 
Speaker CHANDLER: ","I mean, you and I we're just, y'know, we're nothing, we're goofin' around."
"Speaker ROSS: I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don't have to sell those cookies anymore. 
Speaker PERSON: Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a 
Speaker ROSS: Wow, you ah, you really like all this space stuff, huh? 
Speaker PERSON: ",Yeah.
"Speaker MONICA: Why wouldn't I be married when I am forty? 
Speaker CHANDLER: Oh no no no, I just meant hypothetically 
Speaker MONICA: Ok , hypothetically, why won't I be married when I am forty? 
Speaker CHANDLER: No 
Speaker MONICA: No, what is it? Is there something fundamentally unmarriable about me? 
Speaker CHANDLER: ","Dear god, this parachute is a knapsack"
"Speaker SHELDON: And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo. 
Speaker LEONARD: Fine. We'll just play one-on-one until he gets back. 
Speaker SHELDON: One-on-one? We don't play one-on-one. 
Speaker SHELDON: We play teams, not one-on-one. 
Speaker SHELDON: One-on-one. 
Speaker LEONARD: The only way we can play teams at this point is if we cut Raj in half. 
Speaker RAJ: ","Sure, cut the foreigner in half. There's a billion more where he came from."
"Speaker CHANDLER: And this from cry for help department, are you wearing makeup? 
Speaker JOEY: Yes I am, as of today, I am official Joey Tribbiani actor slash model. 
Speaker CHANDLER: ",That's so funny because you look more like Joey Tribbiani man slash woman.
